time,comp0,comp1
0.1575,0.0996543191375,0.0408598490319
0.1576,0.0996605197805,0.0408660473332
0.1577,0.0996667049432,0.0408722301581
0.1578,0.0996728746642,0.0408783975452
0.1579,0.0996790289821,0.0408845495331
0.158,0.0996851679354,0.0408906861603
0.1581,0.0996912915625,0.040896807465
0.1582,0.0996973999015,0.0409029134856
0.1583,0.0997034929907,0.0409090042603
0.1584,0.0997095708682,0.040915079827
0.1585,0.0997156335718,0.0409211402237
0.1586,0.0997216811396,0.0409271854884
0.1587,0.0997277136093,0.0409332156588
0.1588,0.0997337310186,0.0409392307726
0.1589,0.099739733405,0.0409452308673
0.159,0.0997457208062,0.0409512159806
0.1591,0.0997516932595,0.0409571861498
0.1592,0.0997576508023,0.0409631414122
0.1593,0.0997635934717,0.040969081805
0.1594,0.0997695213049,0.0409750073654
0.1595,0.0997754343389,0.0409809181304
0.1596,0.0997813326108,0.040986814137
0.1597,0.0997872161573,0.0409926954219
0.1598,0.0997930850152,0.040998562022
0.1599,0.0997989392213,0.0410044139739
0.16,0.099804778812,0.0410102513142
0.1601,0.0998106038239,0.0410160740794
0.1602,0.0998164142933,0.0410218823058
0.1603,0.0998222102566,0.0410276760298
0.1604,0.09982799175,0.0410334552876
0.1605,0.0998337588096,0.0410392201152
0.1606,0.0998395114715,0.0410449705488
0.1607,0.0998452497716,0.0410507066243
0.1608,0.0998509737458,0.0410564283775
0.1609,0.0998566834298,0.0410621358442
0.161,0.0998623788593,0.04106782906
0.1611,0.0998680600699,0.0410735080605
0.1612,0.0998737270971,0.0410791728813
0.1613,0.0998793799763,0.0410848235578
0.1614,0.0998850187429,0.0410904601251
0.1615,0.099890643432,0.0410960826187
0.1616,0.0998962540788,0.0411016910736
0.1617,0.0999018507185,0.0411072855248
0.1618,0.0999074333859,0.0411128660074
0.1619,0.0999130021159,0.0411184325562
0.162,0.0999185569434,0.041123985206
0.1621,0.099924097903,0.0411295239915
0.1622,0.0999296250294,0.0411350489474
0.1623,0.0999351383571,0.0411405601081
0.1624,0.0999406379206,0.0411460575081
0.1625,0.0999461237542,0.0411515411817
0.1626,0.0999515958922,0.0411570111634
0.1627,0.0999570543688,0.0411624674871
0.1628,0.0999624992181,0.041167910187
0.1629,0.0999679304742,0.0411733392973
0.163,0.0999733481709,0.0411787548516
0.1631,0.0999787523422,0.041184156884
0.1632,0.0999841430217,0.0411895454282
0.1633,0.0999895202433,0.0411949205179
0.1634,0.0999948840404,0.0412002821866
0.1635,0.100000234447,0.0412056304678
0.1636,0.100005571495,0.0412109653951
0.1637,0.10001089522,0.0412162870017
0.1638,0.100016205654,0.0412215953209
0.1639,0.10002150283,0.0412268903859
0.164,0.100026786782,0.0412321722297
0.1641,0.100032057542,0.0412374408855
0.1642,0.100037315143,0.041242696386
0.1643,0.100042559619,0.0412479387642
0.1644,0.100047791002,0.0412531680528
0.1645,0.100053009324,0.0412583842845
0.1646,0.100058214619,0.0412635874919
0.1647,0.100063406918,0.0412687777076
0.1648,0.100068586255,0.0412739549639
0.1649,0.100073752662,0.0412791192932
0.165,0.10007890617,0.0412842707279
0.1651,0.100084046813,0.0412894093
0.1652,0.100089174622,0.0412945350418
0.1653,0.100094289629,0.0412996479852
